Cancer group/site,Year,Sex,State or Territory,Count
Melanoma of the skin,2007,Males,Australia,909
Melanoma of the skin,2007,Females,Australia,400
Melanoma of the skin,2007,Persons,Australia,"1,309"
Melanoma of the skin,2008,Males,Australia,959
Melanoma of the skin,2008,Females,Australia,424
Melanoma of the skin,2008,Persons,Australia,"1,383"
Melanoma of the skin,2009,Males,Australia,956
Melanoma of the skin,2009,Females,Australia,454
Melanoma of the skin,2009,Persons,Australia,"1,410"
Melanoma of the skin,2010,Males,Australia,995
Melanoma of the skin,2010,Females,Australia,423
Melanoma of the skin,2010,Persons,Australia,"1,418"
Melanoma of the skin,2011,Males,Australia,"1,076"
Melanoma of the skin,2011,Females,Australia,453
Melanoma of the skin,2011,Persons,Australia,"1,529"
Melanoma of the skin,2012,Males,Australia,"1,039"
Melanoma of the skin,2012,Females,Australia,490
Melanoma of the skin,2012,Persons,Australia,"1,529"
Melanoma of the skin,2013,Males,Australia,"1,177"
Melanoma of the skin,2013,Females,Australia,489
Melanoma of the skin,2013,Persons,Australia,"1,666"
Melanoma of the skin,2014,Males,Australia,"1,004"
Melanoma of the skin,2014,Females,Australia,461
Melanoma of the skin,2014,Persons,Australia,"1,465"
Melanoma of the skin,2015,Males,Australia,"1,039"
Melanoma of the skin,2015,Females,Australia,475
Melanoma of the skin,2015,Persons,Australia,"1,514"
Melanoma of the skin,2016,Males,Australia,858
Melanoma of the skin,2016,Females,Australia,396
Melanoma of the skin,2016,Persons,Australia,"1,254"
Melanoma of the skin,2017,Males,Australia,908
Melanoma of the skin,2017,Females,Australia,495
Melanoma of the skin,2017,Persons,Australia,"1,403"
Melanoma of the skin,2018,Males,Australia,966
Melanoma of the skin,2018,Females,Australia,417
Melanoma of the skin,2018,Persons,Australia,"1,383"
Melanoma of the skin,2019,Males,Australia,942
Melanoma of the skin,2019,Females,Australia,441
Melanoma of the skin,2019,Persons,Australia,"1,383"
Melanoma of the skin,2020,Males,Australia,954
Melanoma of the skin,2020,Females,Australia,445
Melanoma of the skin,2020,Persons,Australia,"1,399"
Melanoma of the skin,2007,Males,Australian Capital Territory,14
Melanoma of the skin,2007,Females,Australian Capital Territory,4
Melanoma of the skin,2007,Persons,Australian Capital Territory,18
Melanoma of the skin,2008,Males,Australian Capital Territory,14
Melanoma of the skin,2008,Females,Australian Capital Territory,5
Melanoma of the skin,2008,Persons,Australian Capital Territory,18
Melanoma of the skin,2009,Males,Australian Capital Territory,14
Melanoma of the skin,2009,Females,Australian Capital Territory,6
Melanoma of the skin,2009,Persons,Australian Capital Territory,19
Melanoma of the skin,2010,Males,Australian Capital Territory,14
Melanoma of the skin,2010,Females,Australian Capital Territory,5
Melanoma of the skin,2010,Persons,Australian Capital Territory,19
Melanoma of the skin,2011,Males,Australian Capital Territory,12
Melanoma of the skin,2011,Females,Australian Capital Territory,5
Melanoma of the skin,2011,Persons,Australian Capital Territory,17
Melanoma of the skin,2012,Males,Australian Capital Territory,12
Melanoma of the skin,2012,Females,Australian Capital Territory,6
Melanoma of the skin,2012,Persons,Australian Capital Territory,18
Melanoma of the skin,2013,Males,Australian Capital Territory,12
Melanoma of the skin,2013,Females,Australian Capital Territory,5
Melanoma of the skin,2013,Persons,Australian Capital Territory,17
Melanoma of the skin,2014,Males,Australian Capital Territory,11
Melanoma of the skin,2014,Females,Australian Capital Territory,5
Melanoma of the skin,2014,Persons,Australian Capital Territory,16
Melanoma of the skin,2015,Males,Australian Capital Territory,12
Melanoma of the skin,2015,Females,Australian Capital Territory,6
Melanoma of the skin,2015,Persons,Australian Capital Territory,18
Melanoma of the skin,2016,Males,Australian Capital Territory,11
Melanoma of the skin,2016,Females,Australian Capital Territory,7
Melanoma of the skin,2016,Persons,Australian Capital Territory,18
Melanoma of the skin,2017,Males,Australian Capital Territory,10
Melanoma of the skin,2017,Females,Australian Capital Territory,8
Melanoma of the skin,2017,Persons,Australian Capital Territory,18
Melanoma of the skin,2018,Males,Australian Capital Territory,12
Melanoma of the skin,2018,Females,Australian Capital Territory,8
Melanoma of the skin,2018,Persons,Australian Capital Territory,20
Melanoma of the skin,2019,Males,Australian Capital Territory,14
Melanoma of the skin,2019,Females,Australian Capital Territory,8
Melanoma of the skin,2019,Persons,Australian Capital Territory,22
Melanoma of the skin,2020,Males,Australian Capital Territory,15
Melanoma of the skin,2020,Females,Australian Capital Territory,8
Melanoma of the skin,2020,Persons,Australian Capital Territory,23
Melanoma of the skin,2007,Males,New South Wales,339
Melanoma of the skin,2007,Females,New South Wales,138
Melanoma of the skin,2007,Persons,New South Wales,477
Melanoma of the skin,2008,Males,New South Wales,347
Melanoma of the skin,2008,Females,New South Wales,150
Melanoma of the skin,2008,Persons,New South Wales,497
Melanoma of the skin,2009,Males,New South Wales,353
Melanoma of the skin,2009,Females,New South Wales,170
Melanoma of the skin,2009,Persons,New South Wales,523
Melanoma of the skin,2010,Males,New South Wales,370
Melanoma of the skin,2010,Females,New South Wales,144
Melanoma of the skin,2010,Persons,New South Wales,514
Melanoma of the skin,2011,Males,New South Wales,366
Melanoma of the skin,2011,Females,New South Wales,153
Melanoma of the skin,2011,Persons,New South Wales,519
Melanoma of the skin,2012,Males,New South Wales,368
Melanoma of the skin,2012,Females,New South Wales,177
Melanoma of the skin,2012,Persons,New South Wales,545
Melanoma of the skin,2013,Males,New South Wales,398
Melanoma of the skin,2013,Females,New South Wales,155
Melanoma of the skin,2013,Persons,New South Wales,553
Melanoma of the skin,2014,Males,New South Wales,336
Melanoma of the skin,2014,Females,New South Wales,165
Melanoma of the skin,2014,Persons,New South Wales,501
Melanoma of the skin,2015,Males,New South Wales,386
Melanoma of the skin,2015,Females,New South Wales,176
Melanoma of the skin,2015,Persons,New South Wales,562
Melanoma of the skin,2016,Males,New South Wales,288
Melanoma of the skin,2016,Females,New South Wales,131
Melanoma of the skin,2016,Persons,New South Wales,419
Melanoma of the skin,2017,Males,New South Wales,319
Melanoma of the skin,2017,Females,New South Wales,186
Melanoma of the skin,2017,Persons,New South Wales,505
Melanoma of the skin,2018,Males,New South Wales,333
Melanoma of the skin,2018,Females,New South Wales,139
Melanoma of the skin,2018,Persons,New South Wales,472
Melanoma of the skin,2019,Males,New South Wales,307
Melanoma of the skin,2019,Females,New South Wales,157
Melanoma of the skin,2019,Persons,New South Wales,464
Melanoma of the skin,2020,Males,New South Wales,347
Melanoma of the skin,2020,Females,New South Wales,146
Melanoma of the skin,2020,Persons,New South Wales,493
Melanoma of the skin,2007,Males,Northern Territory,3
Melanoma of the skin,2007,Females,Northern Territory,1
Melanoma of the skin,2007,Persons,Northern Territory,4
Melanoma of the skin,2008,Males,Northern Territory,3
Melanoma of the skin,2008,Females,Northern Territory,1
Melanoma of the skin,2008,Persons,Northern Territory,4
Melanoma of the skin,2009,Males,Northern Territory,3
Melanoma of the skin,2009,Females,Northern Territory,1
Melanoma of the skin,2009,Persons,Northern Territory,4
Melanoma of the skin,2010,Males,Northern Territory,4
Melanoma of the skin,2010,Females,Northern Territory,1
Melanoma of the skin,2010,Persons,Northern Territory,5
Melanoma of the skin,2011,Males,Northern Territory,3
Melanoma of the skin,2011,Females,Northern Territory,2
Melanoma of the skin,2011,Persons,Northern Territory,5
Melanoma of the skin,2012,Males,Northern Territory,5
Melanoma of the skin,2012,Females,Northern Territory,1
Melanoma of the skin,2012,Persons,Northern Territory,6
Melanoma of the skin,2013,Males,Northern Territory,5
Melanoma of the skin,2013,Females,Northern Territory,2
Melanoma of the skin,2013,Persons,Northern Territory,7
Melanoma of the skin,2014,Males,Northern Territory,6
Melanoma of the skin,2014,Females,Northern Territory,2
Melanoma of the skin,2014,Persons,Northern Territory,8
Melanoma of the skin,2015,Males,Northern Territory,6
Melanoma of the skin,2015,Females,Northern Territory,2
Melanoma of the skin,2015,Persons,Northern Territory,8
Melanoma of the skin,2016,Males,Northern Territory,6
Melanoma of the skin,2016,Females,Northern Territory,2
Melanoma of the skin,2016,Persons,Northern Territory,8
Melanoma of the skin,2017,Males,Northern Territory,5
Melanoma of the skin,2017,Females,Northern Territory,2
Melanoma of the skin,2017,Persons,Northern Territory,7
Melanoma of the skin,2018,Males,Northern Territory,5
Melanoma of the skin,2018,Females,Northern Territory,2
Melanoma of the skin,2018,Persons,Northern Territory,7
Melanoma of the skin,2019,Males,Northern Territory,6
Melanoma of the skin,2019,Females,Northern Territory,1
Melanoma of the skin,2019,Persons,Northern Territory,7
Melanoma of the skin,2020,Males,Northern Territory,5
Melanoma of the skin,2020,Females,Northern Territory,2
Melanoma of the skin,2020,Persons,Northern Territory,6
Melanoma of the skin,2007,Males,Queensland,211
Melanoma of the skin,2007,Females,Queensland,90
Melanoma of the skin,2007,Persons,Queensland,301
Melanoma of the skin,2008,Males,Queensland,213
Melanoma of the skin,2008,Females,Queensland,95
Melanoma of the skin,2008,Persons,Queensland,308
Melanoma of the skin,2009,Males,Queensland,198
Melanoma of the skin,2009,Females,Queensland,92
Melanoma of the skin,2009,Persons,Queensland,290
Melanoma of the skin,2010,Males,Queensland,232
Melanoma of the skin,2010,Females,Queensland,118
Melanoma of the skin,2010,Persons,Queensland,350
Melanoma of the skin,2011,Males,Queensland,247
Melanoma of the skin,2011,Females,Queensland,96
Melanoma of the skin,2011,Persons,Queensland,343
Melanoma of the skin,2012,Males,Queensland,231
Melanoma of the skin,2012,Females,Queensland,105
Melanoma of the skin,2012,Persons,Queensland,336
Melanoma of the skin,2013,Males,Queensland,313
Melanoma of the skin,2013,Females,Queensland,110
Melanoma of the skin,2013,Persons,Queensland,423
Melanoma of the skin,2014,Males,Queensland,250
Melanoma of the skin,2014,Females,Queensland,102
Melanoma of the skin,2014,Persons,Queensland,352
