Data type,Cancer group/site,Year,Sex,Age group (years),Count
Actual,Melanoma of the skin,1971,Males,00-04,1
Actual,Melanoma of the skin,1971,Persons,00-04,1
Actual,Melanoma of the skin,1971,Males,10-14,1
Actual,Melanoma of the skin,1971,Persons,10-14,1
Actual,Melanoma of the skin,1971,Males,15-19,2
Actual,Melanoma of the skin,1971,Females,15-19,1
Actual,Melanoma of the skin,1971,Persons,15-19,3
Actual,Melanoma of the skin,1971,Males,20-24,3
Actual,Melanoma of the skin,1971,Females,20-24,4
Actual,Melanoma of the skin,1971,Persons,20-24,7
Actual,Melanoma of the skin,1971,Males,25-29,8
Actual,Melanoma of the skin,1971,Females,25-29,7
Actual,Melanoma of the skin,1971,Persons,25-29,15
Actual,Melanoma of the skin,1971,Males,30-34,17
Actual,Melanoma of the skin,1971,Females,30-34,6
Actual,Melanoma of the skin,1971,Persons,30-34,23
Actual,Melanoma of the skin,1971,Males,35-39,14
Actual,Melanoma of the skin,1971,Females,35-39,9
Actual,Melanoma of the skin,1971,Persons,35-39,23
Actual,Melanoma of the skin,1971,Males,40-44,24
Actual,Melanoma of the skin,1971,Females,40-44,12
Actual,Melanoma of the skin,1971,Persons,40-44,36
Actual,Melanoma of the skin,1971,Males,45-49,22
Actual,Melanoma of the skin,1971,Females,45-49,16
Actual,Melanoma of the skin,1971,Persons,45-49,38
Actual,Melanoma of the skin,1971,Males,50-54,29
Actual,Melanoma of the skin,1971,Females,50-54,21
Actual,Melanoma of the skin,1971,Persons,50-54,50
Actual,Melanoma of the skin,1971,Males,55-59,26
Actual,Melanoma of the skin,1971,Females,55-59,13
Actual,Melanoma of the skin,1971,Persons,55-59,39
Actual,Melanoma of the skin,1971,Males,60-64,10
Actual,Melanoma of the skin,1971,Females,60-64,16
Actual,Melanoma of the skin,1971,Persons,60-64,26
Actual,Melanoma of the skin,1971,Males,65-69,15
Actual,Melanoma of the skin,1971,Females,65-69,11
Actual,Melanoma of the skin,1971,Persons,65-69,26
Actual,Melanoma of the skin,1971,Males,70-74,18
Actual,Melanoma of the skin,1971,Females,70-74,9
Actual,Melanoma of the skin,1971,Persons,70-74,27
Actual,Melanoma of the skin,1971,Males,75-79,4
Actual,Melanoma of the skin,1971,Females,75-79,9
Actual,Melanoma of the skin,1971,Persons,75-79,13
Actual,Melanoma of the skin,1971,Males,80-84,5
Actual,Melanoma of the skin,1971,Females,80-84,10
Actual,Melanoma of the skin,1971,Persons,80-84,15
Actual,Melanoma of the skin,1971,Females,85-89,5
Actual,Melanoma of the skin,1971,Persons,85-89,5
Actual,Melanoma of the skin,1971,Females,90+,3
Actual,Melanoma of the skin,1971,Persons,90+,3
Actual,Melanoma of the skin,1971,Males,All ages combined,199
Actual,Melanoma of the skin,1971,Females,All ages combined,152
Actual,Melanoma of the skin,1971,Persons,All ages combined,351
Actual,Melanoma of the skin,1972,Males,15-19,2
Actual,Melanoma of the skin,1972,Persons,15-19,2
Actual,Melanoma of the skin,1972,Males,20-24,5
Actual,Melanoma of the skin,1972,Females,20-24,7
Actual,Melanoma of the skin,1972,Persons,20-24,12
Actual,Melanoma of the skin,1972,Males,25-29,6
Actual,Melanoma of the skin,1972,Females,25-29,6
Actual,Melanoma of the skin,1972,Persons,25-29,12
Actual,Melanoma of the skin,1972,Males,30-34,9
Actual,Melanoma of the skin,1972,Females,30-34,12
Actual,Melanoma of the skin,1972,Persons,30-34,21
Actual,Melanoma of the skin,1972,Males,35-39,11
Actual,Melanoma of the skin,1972,Females,35-39,10
Actual,Melanoma of the skin,1972,Persons,35-39,21
Actual,Melanoma of the skin,1972,Males,40-44,19
Actual,Melanoma of the skin,1972,Females,40-44,11
Actual,Melanoma of the skin,1972,Persons,40-44,30
Actual,Melanoma of the skin,1972,Males,45-49,26
